airport_name,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_region_name,airport_country_code,id
Toussaint L'Ouverture International Airport,PAP,MTPP,18.58,-72.2925,Ouest,HT,217
Boca Raton Airport,BCT,KBCT,26.3785,-80.1077,Florida,US,218
Providenciales International Airport,PLS,MBPV,21.7736,-72.2659,Turks and Caicos Islands,TC,219
Salisbury-Ocean City-Wicomico Regional Airport,SBY,KSBY,38.3405,-75.5103,Maryland,US,220
Heathrow Airport,LHR,EGLL,51.4775,-0.461389,England,GB,221
Harrisburg International Airport,MDT,KMDT,40.1935,-76.7634,Pennsylvania,US,222
Robert Gabriel Mugabe International Airport,HRE,FVHA,-17.9318,31.0928,Harare,ZW,223
Fort Wayne International Airport,FWA,KFWA,40.9785,-85.1951,Gujarat,IN,224
Evansville Regional Airport,EVV,KEVV,38.037,-87.5324,Gujarat,IN,225
Bradley International Airport,BDL,KBDL,41.9392,-72.6833,Connecticut,US,226
Lynden Pindling International Airport,NAS,MYNN,25.039,-77.4662,New Providence,BS,227
El Dorado International Airport,BOG,SKBO,4.70159,-74.1469,Distrito Capital de Bogota,CO,228
Kotoka International Airport,ACC,DGAA,5.60519,-0.166786,Greater Accra,GH,229
Montréal-Pierre Elliott Trudeau International Airport,YUL,CYUL,45.4657,-73.7455,Quebec,CA,230
William P. Hobby Airport,HOU,KHOU,29.6454,-95.2789,Texas,US,231
Augusta Regional Airport at Bush Field,AGS,KAGS,33.3699,-81.9645,Georgia,US,232
Charlottesville-Albemarle Airport,CHO,KCHO,38.1386,-78.4529,Virginia,US,233
San Luis Valley Regional Airport,ALS,KALS,37.4349,-105.867,Colorado,US,234
Manchester-Boston Regional Airport,MHT,KMHT,42.9326,-71.4357,New Hampshire,US,235
General Roberto Fierro Villalobos International Airport,CUU,MMCU,28.7029,-105.965,Chihuahua,MX,236
Volgograd International Airport,VOG,URWW,48.7825,44.3455,Vologodskaya oblast',RU,237
San Antonio International Airport,SAT,KSAT,29.5337,-98.4698,Texas,US,238
Santa Fe Municipal Airport,SAF,KSAF,35.6171,-106.089,New Mexico,US,239
Portland International Jetport,PWM,KPWM,43.6462,-70.3093,Maine,US,240
